codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
101.101.1040,arandela,,18.0,23.0,1.25,,métrico,,,132.6389,efepe,ARANDELA ALUMINIO  18.0  X  23.0  X  1.25 X 50 und.
101.101.1041,arandela,,19.0,23.0,1.25,,métrico,,,147.5042,efepe,ARANDELA ALUMINIO  19.0  X  23.0  X  1.25 X 50 und.
101.101.1042,arandela,,20.0,26.0,1.25,,métrico,,,162.0822,efepe,ARANDELA ALUMINIO  20.0  X  26.0  X  1.25 x 50 und.
101.101.1043,arandela,,21.0,25.5,1.25,,métrico,,,176.6627,efepe,ARANDELA ALUMINIO  21.0  X  25.5  X  1.25 x 50 und.
101.101.1044,arandela,,22.0,26.0,1.25,,métrico,,,147.5042,efepe,ARANDELA ALUMINIO  22.0  X  26.0  X  1.25 x 50 und.
101.101.1068,arandela,,23.0,28.0,1.25,,métrico,,,191.528,efepe,ARANDELA ALUMINIO  23.0  X  28.0  X  1.25 x 50 und.
101.101.1045,arandela,,25.0,33.0,1.25,,métrico,,,250.4149,efepe,ARANDELA ALUMINIO  25.0  X  33.0  X  1.25 x 50 und.
101.101.1065,arandela,,25.5,29.5,1.25,,métrico,,,206.3911,efepe,ARANDELA ALUMINIO  25.5  X  29.5  X  1.25 x 50 und.
101.101.1046,arandela,,26.0,30.0,1.25,,métrico,,,206.3911,efepe,ARANDELA ALUMINIO  26.0  X  30.0  X  1.25 x 50 und.
101.101.1047,arandela,,26.0,32.0,1.25,,métrico,,,235.646,efepe,ARANDELA ALUMINIO  26.0  X  32.0  X  1.25 x 50 und.
101.101.1066,arandela,,26.0,32.0,2.00,,métrico,,,397.6343,efepe,ARANDELA ALUMINIO  26.0  X  32.0  X  2.00 x 50 und.
101.101.1048,arandela,,26.0,34.0,1.25,,métrico,,,265.0894,efepe,ARANDELA ALUMINIO  26.0  X  34.0  X  1.25 x 50 und.
101.101.1049,arandela,,28.0,34.0,1.25,,métrico,,,279.8582,efepe,ARANDELA ALUMINIO  28.0  X  34.0  X  1.25 x 50 und.
101.101.1050,arandela,,28.0,36.0,1.25,,métrico,,,294.6271,efepe,ARANDELA ALUMINIO  28.0  X  36.0  X  1.25 x 50 und.
101.101.1067,arandela,,28.0,36.0,2.00,,métrico,,,515.2194,efepe,ARANDELA ALUMINIO  28.0  X  36.0  X  2.00 x 50 und.
101.101.1051,arandela,,30.0,36.0,1.25,,métrico,,,279.8582,efepe,ARANDELA ALUMINIO  30.0  X  36.0  X  1.25 x 25 und.
101.101.1052,arandela,,30.0,36.0,2.00,,métrico,,,486.2494,efepe,ARANDELA ALUMINIO  30.0  X  36.0  X  2.00 x 25 und.
101.101.1053,arandela,,32.0,36.0,1.25,,métrico,,,279.8582,efepe,ARANDELA ALUMINIO  32.0  X  36.0  X  1.25 x 25 und.
101.101.1054,arandela,,32.0,50.0,1.25,,métrico,,,530.2732,efepe,ARANDELA ALUMINIO  32.0  X  50.0  X  1.25 x 25 und.
101.101.1055,arandela,,34.0,42.0,1.25,,métrico,,,382.9596,efepe,ARANDELA ALUMINIO  34.0  X  42.0  X  1.25 x 25 und.
101.101.1056,arandela,,35.0,41.0,1.25,,métrico,,,382.9596,efepe,ARANDELA ALUMINIO  35.0  X  41.0  X  1.25 x 25 und.
101.101.1057,arandela,,36.0,42.0,1.25,,métrico,,,382.9596,efepe,ARANDELA ALUMINIO  36.0  X  42.0  X  1.25 x 25 und.
101.101.1058,arandela,,38.0,46.0,1.25,,métrico,,,441.9429,efepe,ARANDELA ALUMINIO  38.0  X  46.0  X  1.25 x 25 und.
101.101.1059,arandela,,41.0,45.0,1.25,,métrico,,,427.1718,efepe,ARANDELA ALUMINIO  41.0  X  45.0  X  1.25 x 25 und.
101.101.1060,arandela,,42.0,50.0,1.25,,métrico,,,515.2194,efepe,ARANDELA ALUMINIO  42.0  X  50.0  X  1.25 x 25 und.
101.101.1061,arandela,,46.0,54.0,1.25,,métrico,,,560.0016,efepe,ARANDELA ALUMINIO  46.0  X  54.0  X  1.25 x 25 und.
101.101.1062,arandela,,52.0,60.0,1.25,,métrico,,,662.7236,efepe,ARANDELA ALUMINIO  52.0  X  60.0  X  1.25 x 25 und.
101.101.1063,arandela,,61.0,71.0,1.25,,métrico,,,957.1624,efepe,ARANDELA ALUMINIO  61.0  X  71.0  X  1.25 x 25 und.
101.102.1000,arandela,,02.5,06.0,1.25,,métrico,,,143.6445,efepe,ARANDELA COBRE  02.5  X  06.0  X  1.25 x 100 und.
101.102.1002,arandela,,03.0,10.0,1.25,,métrico,,,215.4118,efepe,ARANDELA COBRE  03.0  X  10.0  X  1.25 x 100 und.
101.102.1001,arandela,,03.5,08.0,1.25,,métrico,,,179.6885,efepe,ARANDELA COBRE  03.5  X  08.0  X  1.25 x 100 und.
101.102.1003,arandela,,04.0,09.0,1.25,,métrico,,,215.4118,efepe,ARANDELA COBRE  04.0  X  09.0  X  1.25 x 100 und.
101.102.1004,arandela,,05.0,09.0,1.25,,métrico,,,203.575,efepe,ARANDELA COBRE  05.0  X  09.0  X  1.25 x 100 und.
101.102.1005,arandela,,06.0,08.0,1.25,,métrico,,,179.6885,efepe,ARANDELA COBRE  06.0  X  08.0  X  1.25 x 100 und.
101.102.1006,arandela,,06.0,11.0,1.25,,métrico,,,275.237,efepe,ARANDELA COBRE  06.0  X  11.0  X  1.25 x 100 und.
101.102.1007,arandela,,06.5,12.0,1.25,,métrico,,,275.237,efepe,ARANDELA COBRE  06.5  X  12.0  X  1.25 x 100 und.
101.102.1008,arandela,,06.5,13.0,1.25,,métrico,,,334.7374,efepe,ARANDELA COBRE  06.5  X  13.0  X  1.25 x 100 und.
101.102.1009,arandela,,06.5,16.0,1.25,,métrico,,,526.4799,efepe,ARANDELA COBRE  06.5  X  16.0  X  1.25 x 100 und.
101.102.1010,arandela,,06.5,20.0,1.25,,métrico,,,717.7881,efepe,ARANDELA COBRE  06.5  X  20.0  X  1.25 x 100 und.
101.102.1011,arandela,,07.0,10.0,1.25,,métrico,,,239.1931,efepe,ARANDELA COBRE  07.0  X  10.0  X  1.25 x 100 und.
101.102.1012,arandela,,07.0,14.0,1.25,,métrico,,,406.7222,efepe,ARANDELA COBRE  07.0  X  14.0  X  1.25 x 100 und.
101.102.1013,arandela,,08.0,11.0,1.25,,métrico,,,251.2429,efepe,ARANDELA COBRE  08.0  X  11.0  X  1.25 x 100 und.
101.102.1014,arandela,,08.0,13.0,1.25,,métrico,,,263.0777,efepe,ARANDELA COBRE  08.0  X  13.0  X  1.25 x 100 und.
101.102.1015,arandela,,08.0,20.0,1.25,,métrico,,,741.892,efepe,ARANDELA COBRE  08.0  X  20.0  X  1.25 x 100 und.
101.102.1017,arandela,,09.4,18.0,1.25,,métrico,,,550.259,efepe,ARANDELA COBRE  09.4  X  18.0  X  1.25 x 100 und.
101.102.1018,arandela,,09.5,14.0,1.25,,métrico,,,359.0543,efepe,ARANDELA COBRE  09.5  X  14.0  X  1.25 x 100 und.
101.102.1019,arandela,,09.5,14.0,2.00,,métrico,,,598.1399,efepe,ARANDELA COBRE  09.5  X  14.0  X  2.00 x 100 und.
101.102.1067,arandela,,09.7,13.0,1.25,,métrico,,,299.1236,efepe,ARANDELA COBRE  09.7  X  13.0  X  1.25 x 100 und.
101.102.1020,arandela,,10.0,15.0,1.25,,métrico,,,418.7718,efepe,ARANDELA COBRE  10.0  X  15.0  X  1.25 x 50 und.
101.102.1021,arandela,,10.0,19.0,2.00,,métrico,,,956.9812,efepe,ARANDELA COBRE  10.0  X  19.0  X  2.00 x 50 und.
101.102.1022,arandela,,10.0,20.0,1.00,,métrico,,,514.4281,efepe,ARANDELA COBRE  10.0  X  20.0  X  1.00 x 50 und.
101.102.1023,arandela,,10.0,21.0,0.50,,métrico,,,478.5992,efepe,ARANDELA COBRE  10.0  X  21.0  X  0.50 x 50 und.
101.102.1024,arandela,,10.0,21.0,1.25,,métrico,,,777.7228,efepe,ARANDELA COBRE  10.0  X  21.0  X  1.25 x 50 und.
101.102.1025,arandela,,10.0,21.0,2.00,,métrico,,,1136.5621,efepe,ARANDELA COBRE  10.0  X  21.0  X  2.00 x 50 und.
101.102.1026,arandela,,10.0,25.0,1.25,,métrico,,,1136.5621,efepe,ARANDELA COBRE  10.0  X  25.0  X  1.25 x 50 und.
101.102.1027,arandela,,11.0,15.0,1.25,,métrico,,,418.7718,efepe,ARANDELA COBRE  11.0  X  15.0  X  1.25 x 50 und.
101.102.1028,arandela,,11.0,20.0,1.25,,métrico,,,753.619,efepe,ARANDELA COBRE  11.0  X  20.0  X  1.25 x 50 und.
101.102.1029,arandela,,12.0,17.0,1.25,,métrico,,,478.5992,efepe,ARANDELA COBRE  12.0  X  17.0  X  1.25 x 50 und.
101.102.1030,arandela,,12.0,24.0,1.25,,métrico,,,1076.7369,efepe,ARANDELA COBRE  12.0  X  24.0  X  1.25 x 50 und.
101.102.1031,arandela,,12.7,20.0,1.25,,métrico,,,753.619,efepe,ARANDELA COBRE  12.7  X  20.0  X  1.25 x 50 und.
101.102.1032,arandela,,13.0,20.0,1.25,,métrico,,,682.1743,efepe,ARANDELA COBRE  13.0  X  20.0  X  1.25 x 50 und.
101.102.1033,arandela,,14.0,20.0,1.25,,métrico,,,657.7501,efepe,ARANDELA COBRE  14.0  X  20.0  X  1.25 x 50 und.
101.102.1034,arandela,,14.0,20.0,2.00,,métrico,,,956.9812,efepe,ARANDELA COBRE  14.0  X  20.0  X  2.00 x 50 und.
101.102.1035,arandela,,14.5,20.0,1.25,,métrico,,,717.7881,efepe,ARANDELA COBRE  14.5  X  20.0  X  1.25 x 50 und.
101.102.1036,arandela,,15.0,21.0,1.25,,métrico,,,777.7228,efepe,ARANDELA COBRE  15.0  X  21.0  X  1.25 x 50 und.
101.102.1064,arandela,,15.0,21.0,1.50,,métrico,,,908.993,efepe,ARANDELA COBRE  15.0  X  21.0  X  1.50 x 50 und.
101.102.1068,arandela,,15.7,21.0,2.00,,métrico,,,1136.5621,efepe,ARANDELA COBRE  15.7  X  21.0  X  2.00 x 50 und.
101.102.1037,arandela,,16.0,19.0,1.25,,métrico,,,598.1399,efepe,ARANDELA COBRE  16.0  X  19.0  X  1.25 x 50 und.
101.102.1038,arandela,,16.0,24.0,1.25,,métrico,,,1028.7487,efepe,ARANDELA COBRE  16.0  X  24.0  X  1.25 x 50 und.
101.102.1039,arandela,,17.0,24.0,1.25,,métrico,,,1016.6989,efepe,ARANDELA COBRE  17.0  X  24.0  X  1.25 x 50 und.
101.102.1040,arandela,,18.0,23.0,1.25,,métrico,,,837.3308,efepe,ARANDELA COBRE  18.0  X  23.0  X  1.25 x 50 und.
101.102.1041,arandela,,19.0,23.0,1.25,,métrico,,,956.9812,efepe,ARANDELA COBRE  19.0  X  23.0  X  1.25 x 50 und.
101.102.1042,arandela,,20.0,26.0,1.25,,métrico,,,1076.7369,efepe,ARANDELA COBRE  20.0  X  26.0  X  1.25 x 50 und.
101.102.1043,arandela,,21.0,25.5,1.25,,métrico,,,1076.7369,efepe,ARANDELA COBRE  21.0  X  25.5  X  1.25 x 50 und.
101.102.1044,arandela,,22.0,26.0,1.25,,métrico,,,956.9812,efepe,ARANDELA COBRE  22.0  X  26.0  X  1.25 x 50 und.
101.102.1065,arandela,,23.0,28.0,1.25,,métrico,,,1315.8225,efepe,ARANDELA COBRE  23.0  X  28.0  X  1.25 x 50 und.
101.102.1066,arandela,,24.0,32.0,1.25,,métrico,,,1674.4467,efepe,ARANDELA COBRE  24.0  X  32.0  X  1.25 x 50 und.
101.102.1045,arandela,,25.0,33.0,1.25,,métrico,,,1794.2044,efepe,ARANDELA COBRE  25.0  X  33.0  X  1.25 x 50 und.
101.102.1046,arandela,,26.0,30.0,1.25,,métrico,,,1435.4707,efepe,ARANDELA COBRE  26.0  X  30.0  X  1.25 x 50 und.
101.102.1047,arandela,,26.0,32.0,1.25,,métrico,,,1554.7962,efepe,ARANDELA COBRE  26.0  X  32.0  X  1.25 x 50 und.
101.102.1048,arandela,,26.0,34.0,1.25,,métrico,,,1794.2044,efepe,ARANDELA COBRE  26.0  X  34.0  X  1.25 x 50 und.
101.102.1050,arandela,,28.0,36.0,1.25,,métrico,,,2153.0437,efepe,ARANDELA COBRE  28.0  X  36.0  X  1.25 x 50 und.
101.102.1069,arandela,,28.0,36.0,2.00,,métrico,,,3109.7023,efepe,ARANDELA COBRE  28.0  X  36.0  X  2.00 x 25 und.
101.102.1051,arandela,,30.0,36.0,1.25,,métrico,,,2033.3955,efepe,ARANDELA COBRE  30.0  X  36.0  X  1.25 x 25 und.
101.102.1052,arandela,,30.0,36.0,2.00,,métrico,,,2990.2669,efepe,ARANDELA COBRE  30.0  X  36.0  X  2.00 x 25 und.
101.102.1053,arandela,,32.0,36.0,1.25,,métrico,,,2033.3955,efepe,ARANDELA COBRE  32.0  X  36.0  X  1.25 x 25 und.
101.102.1054,arandela,,32.0,50.0,1.25,,métrico,,,4186.4414,efepe,ARANDELA COBRE  32.0  X  50.0  X  1.25 x 25 und.
101.102.1055,arandela,,34.0,42.0,1.25,,métrico,,,2990.2669,efepe,ARANDELA COBRE  34.0  X  42.0  X  1.25 x 25 und.
101.102.1056,arandela,,35.0,41.0,1.25,,métrico,,,2750.9685,efepe,ARANDELA COBRE  35.0  X  41.0  X  1.25 x 25 und.
101.102.1057,arandela,,36.0,42.0,1.25,,métrico,,,2990.2669,efepe,ARANDELA COBRE  36.0  X  42.0  X  1.25 x 25 und.
101.102.1058,arandela,,38.0,46.0,1.25,,métrico,,,3109.7023,efepe,ARANDELA COBRE  38.0  X  46.0  X  1.25 x 25 und.
101.102.1059,arandela,,41.0,45.0,1.25,,métrico,,,2990.2669,efepe,ARANDELA COBRE  41.0  X  45.0  X  1.25 x 25 und.
101.102.1060,arandela,,42.0,50.0,1.25,,métrico,,,4186.4414,efepe,ARANDELA COBRE  42.0  X  50.0  X  1.25 x 25 und.
101.102.1061,arandela,,46.0,54.0,1.25,,métrico,,,4186.4414,efepe,ARANDELA COBRE  46.0  X  54.0  X  1.25 x 25 und.
101.102.1062,arandela,,52.0,60.0,1.25,,métrico,,,4784.2565,efepe,ARANDELA COBRE  52.0  X  60.0  X  1.25 x 25 und.
101.103.1000,arandela,,02.5,06.0,1.25,,métrico,,,60.3629,efepe,ARANDELA FIBRA  02.5  X  06.0  X  1.25 x 100 und.
101.103.1028,arandela,,03.0,06.0,1.25,,métrico,,,60.3629,efepe,ARANDELA FIBRA  03.0  X  06.0  X  1.25 x 100 und.
101.103.1002,arandela,,03.0,10.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  03.0  X  10.0  X  1.25 x 100 und.
101.103.1001,arandela,,03.5,08.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  03.5  X  08.0  X  1.25 x 100 und.
101.103.1003,arandela,,04.0,09.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  04.0  X  09.0  X  1.25 x 100 und.
101.103.1004,arandela,,05.0,09.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  05.0  X  09.0  X  1.25 x 100 und.
101.103.1005,arandela,,06.0,08.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  06.0  X  08.0  X  1.25 x 100 und.
101.103.1006,arandela,,06.0,11.0,1.25,,métrico,,,82.3941,efepe,ARANDELA FIBRA  06.0  X  11.0  X  1.25 x 100 und.
101.103.1007,arandela,,06.5,12.0,1.25,,métrico,,,82.3941,efepe,ARANDELA FIBRA  06.5  X  12.0  X  1.25 x 100 und.
101.103.1009,arandela,,06.5,16.0,1.25,,métrico,,,159.1685,efepe,ARANDELA FIBRA  06.5  X  16.0  X  1.25 x 100 und.
101.103.1010,arandela,,06.5,20.0,1.25,,métrico,,,205.539,efepe,ARANDELA FIBRA  06.5  X  20.0  X  1.25 x 100 und.
101.103.1011,arandela,,07.0,10.0,1.25,,métrico,,,68.5244,efepe,ARANDELA FIBRA  07.0  X  10.0  X  1.25 x 100 und.
101.103.1012,arandela,,07.0,14.0,1.25,,métrico,,,115.5594,efepe,ARANDELA FIBRA  07.0  X  14.0  X  1.25 x 100 und.
101.103.1013,arandela,,08.0,11.0,1.25,,métrico,,,82.3941,efepe,ARANDELA FIBRA  08.0  X  11.0  X  1.25 x 100 und.
101.103.1014,arandela,,08.0,13.0,1.25,,métrico,,,95.941,efepe,ARANDELA FIBRA  08.0  X  13.0  X  1.25 x 100 und.
101.103.1015,arandela,,08.0,20.0,1.25,,métrico,,,191.9937,efepe,ARANDELA FIBRA  08.0  X  20.0  X  1.25 x 100 und.
101.103.1016,arandela,,09.0,13.0,1.25,,métrico,,,82.3941,efepe,ARANDELA FIBRA  09.0  X  13.0  X  1.25 x 100 und.
101.103.1017,arandela,,09.4,18.0,1.25,,métrico,,,159.1685,efepe,ARANDELA FIBRA  09.4  X  18.0  X  1.25 x 100 und.
101.103.1018,arandela,,10.0,15.0,1.25,,métrico,,,117.9723,efepe,ARANDELA FIBRA  10.0  X  15.0  X  1.25 x 50 und.
101.103.1019,arandela,,10.0,21.0,1.25,,métrico,,,219.2087,efepe,ARANDELA FIBRA  10.0  X  21.0  X  1.25 x 50 und.
101.103.1020,arandela,,10.0,25.0,1.25,,métrico,,,274.1747,efepe,ARANDELA FIBRA  10.0  X  25.0  X  1.25 x 50 und.
101.103.1021,arandela,,11.0,15.0,1.25,,métrico,,,117.9723,efepe,ARANDELA FIBRA  11.0  X  15.0  X  1.25 x 50 und.
101.103.1022,arandela,,11.0,20.0,1.25,,métrico,,,197.621,efepe,ARANDELA FIBRA  11.0  X  20.0  X  1.25 x 50 und.
101.103.1023,arandela,,12.0,17.0,1.25,,métrico,,,137.0373,efepe,ARANDELA FIBRA  12.0  X  17.0  X  1.25 x 50 und.
101.103.1024,arandela,,12.0,24.0,1.25,,métrico,,,274.1747,efepe,ARANDELA FIBRA  12.0  X  24.0  X  1.25 x 50 und.
101.103.1025,arandela,,12.7,20.0,1.25,,métrico,,,197.621,efepe,ARANDELA FIBRA  12.7  X  20.0  X  1.25 x 50 und.
101.103.1026,arandela,,13.0,20.0,1.25,,métrico,,,178.2238,efepe,ARANDELA FIBRA  13.0  X  20.0  X  1.25 x 50 und.
101.103.1027,arandela,,14.0,20.0,1.25,,métrico,,,178.2238,efepe,ARANDELA FIBRA  14.0  X  20.0  X  1.25 x 50 und.
101.103.1029,arandela,,14.5,20.0,1.25,,métrico,,,197.621,efepe,ARANDELA FIBRA  14.5  X  20.0  X  1.25 x 50 und.
101.103.1030,arandela,,15.0,21.0,1.25,,métrico,,,213.591,efepe,ARANDELA FIBRA  15.0  X  21.0  X  1.25 x 50 und.
101.103.1031,arandela,,16.0,19.0,1.25,,métrico,,,197.621,efepe,ARANDELA FIBRA  16.0  X  19.0  X  1.25 x 50 und.
101.103.1032,arandela,,16.0,24.0,1.25,,métrico,,,252.5774,efepe,ARANDELA FIBRA  16.0  X  24.0  X  1.25 x 50 und.
101.103.1033,arandela,,17.0,24.0,1.25,,métrico,,,260.7373,efepe,ARANDELA FIBRA  17.0  X  24.0  X  1.25 x 50 und.
101.103.1034,arandela,,18.0,23.0,1.25,,métrico,,,238.3739,efepe,ARANDELA FIBRA  18.0  X  23.0  X  1.25 x 50 und.
101.103.1035,arandela,,19.0,23.0,1.25,,métrico,,,260.7373,efepe,ARANDELA FIBRA  19.0  X  23.0  X  1.25 x 50 und.
101.103.1036,arandela,,20.0,26.0,1.25,,métrico,,,301.6013,efepe,ARANDELA FIBRA  20.0  X  26.0  X  1.25 x 50 und.
101.103.1037,arandela,,21.0,25.5,1.25,,métrico,,,301.6013,efepe,ARANDELA FIBRA  21.0  X  25.5  X  1.25 x 50 und.
101.103.1038,arandela,,22.0,26.0,1.25,,métrico,,,274.1747,efepe,ARANDELA FIBRA  22.0  X  26.0  X  1.25 x 50 und.
101.103.1039,arandela,,25.0,33.0,1.25,,métrico,,,411.4217,efepe,ARANDELA FIBRA  25.0  X  33.0  X  1.25 x 50 und.
101.103.1040,arandela,,26.0,30.0,1.25,,métrico,,,356.2444,efepe,ARANDELA FIBRA  26.0  X  30.0  X  1.25 x 50 und.
101.103.1041,arandela,,26.0,32.0,1.25,,métrico,,,383.7823,efepe,ARANDELA FIBRA  26.0  X  32.0  X  1.25 x 50 und.
101.103.1042,arandela,,26.0,34.0,1.25,,métrico,,,438.74,efepe,ARANDELA FIBRA  26.0  X  34.0  X  1.25 x 50 und.
101.103.1043,arandela,,28.0,34.0,1.25,,métrico,,,438.74,efepe,ARANDELA FIBRA  28.0  X  34.0  X  1.25 x 50 und.
101.103.1044,arandela,,28.0,36.0,1.25,,métrico,,,493.2721,efepe,ARANDELA FIBRA  28.0  X  36.0  X  1.25 x 50 und.
101.103.1045,arandela,,30.0,36.0,1.25,,métrico,,,466.178,efepe,ARANDELA FIBRA  30.0  X  36.0  X  1.25 x 25 und.
101.103.1046,arandela,,32.0,50.0,1.25,,métrico,,,822.5224,efepe,ARANDELA FIBRA  32.0  X  50.0  X  1.25 x 25 und.
