description,measure,unit_price,normalized_description
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,1/2,0.1083,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2,1/2,0.1,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 1/2
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 9/16,9/16,40.6719,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 9/16
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/8,5/8,64.8959,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 5/8
TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/4,3/4,137.4424,TUERCAS AUTOFRENANTES UNC - WHIT - ZINCADO AZUL 3/4
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 6,,11.0,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 6
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 8,,4.6,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 8
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 10,,2.0,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 10
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12,,1.4,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 14,,27.2958,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 14
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 16,,45.1542,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 16
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 18,,81.5434,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 18
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 20,,147.7926,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 20
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 8,,4.6,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 8
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 10,,2.0,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 10
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12,,1.4,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12,,1.4,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 12
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 14,,27.8643,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 14
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 16,,46.5943,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 16
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 18,,90.6008,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 18
TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 20,,168.9052,TUERCAS AUTOFRENANTES METRICAS - ZINCADO DORADO 20
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 25,,1.9626,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 25
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 32,,2.7532,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 32
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 38,,3.4377,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 38
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 44,,10.1052,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 44
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 50,,33.2072,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 50
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 56,,37.6551,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 56
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 63,,49.6394,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 63
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 70,,54.0923,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 70
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 76,,212.9694,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 76
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 82,,88.1839,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 82
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 90,,304.9869,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 90
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 115,,156.1912,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 115
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 127,,618.35,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 127
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 152,,1042.9798,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 152
BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 176,,1459.8812,BULON CABEZA REDONDA ZINCADO SIN TUERCA (CARROCERO) 176
BULON CABEZA REDONDA ZINCADO (CARROCERO) 19,,9.0258,BULON CABEZA REDONDA ZINCADO (CARROCERO) 19
BULON CABEZA REDONDA ZINCADO (CARROCERO) 25,,49.1094,BULON CABEZA REDONDA ZINCADO (CARROCERO) 25
BULON CABEZA REDONDA ZINCADO (CARROCERO) 32,,55.5844,BULON CABEZA REDONDA ZINCADO (CARROCERO) 32
BULON CABEZA REDONDA ZINCADO (CARROCERO) 38,,61.1332,BULON CABEZA REDONDA ZINCADO (CARROCERO) 38
BULON CABEZA REDONDA ZINCADO (CARROCERO) 44,,255.3165,BULON CABEZA REDONDA ZINCADO (CARROCERO) 44
BULON CABEZA REDONDA ZINCADO (CARROCERO) 50,,273.7591,BULON CABEZA REDONDA ZINCADO (CARROCERO) 50
BULON CABEZA REDONDA ZINCADO (CARROCERO) 56,,292.2718,BULON CABEZA REDONDA ZINCADO (CARROCERO) 56
BULON CABEZA REDONDA ZINCADO (CARROCERO) 63,,313.8084,BULON CABEZA REDONDA ZINCADO (CARROCERO) 63
BULON CABEZA REDONDA ZINCADO (CARROCERO) 70,,335.385,BULON CABEZA REDONDA ZINCADO (CARROCERO) 70
BULON CABEZA REDONDA ZINCADO (CARROCERO) 76,,346.125,BULON CABEZA REDONDA ZINCADO (CARROCERO) 76
BULON CABEZA REDONDA ZINCADO (CARROCERO) 82,,364.1212,BULON CABEZA REDONDA ZINCADO (CARROCERO) 82
BULON CABEZA REDONDA ZINCADO (CARROCERO) 90,,388.1433,BULON CABEZA REDONDA ZINCADO (CARROCERO) 90
BULON CABEZA REDONDA ZINCADO (CARROCERO) 102,,418.1365,BULON CABEZA REDONDA ZINCADO (CARROCERO) 102
BULON CABEZA REDONDA ZINCADO (CARROCERO) 115,,597.4925,BULON CABEZA REDONDA ZINCADO (CARROCERO) 115
BULON CABEZA REDONDA ZINCADO (CARROCERO) 127,,986.3207,BULON CABEZA REDONDA ZINCADO (CARROCERO) 127
BULON CABEZA REDONDA ZINCADO (CARROCERO) 140,,1144.3678,BULON CABEZA REDONDA ZINCADO (CARROCERO) 140
BULON CABEZA REDONDA ZINCADO (CARROCERO) 152,,1245.3669,BULON CABEZA REDONDA ZINCADO (CARROCERO) 152
BULON CABEZA REDONDA ZINCADO (CARROCERO) 176,,1379.9961,BULON CABEZA REDONDA ZINCADO (CARROCERO) 176
BULON CABEZA REDONDA ZINCADO (CARROCERO) 190,,465.5598,BULON CABEZA REDONDA ZINCADO (CARROCERO) 190
BULON CABEZA REDONDA ZINCADO (CARROCERO) 203,,1548.7711,BULON CABEZA REDONDA ZINCADO (CARROCERO) 203
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 PULG,,25.4,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 PULG
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3/8,3/8,0.6921,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3/8
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 1/2,1/2,4.7933,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 1/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5/8,5/8,4.3121,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5/8
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3/4,3/4,25.6005,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 7/8,7/8,31.3472,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 7/8
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 1,,34.0842,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 1
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 11/4,1/4,44.1161,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 11/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 11/2,1/2,796.2018,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 11/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 13/4,3/4,814.8413,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 13/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 2,,949.1161,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 21/4,1/4,1049.671,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 21/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 21/2,1/2,3496.492,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 21/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 23/4,3/4,3967.33,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 23/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3,,5837.7812,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 3
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/4,1/4,5383.3284,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/2,1/2,5503.8746,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 31/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 4,,6654.9362,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 4
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 41/2,1/2,8166.174,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 41/2
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5,,11925.0623,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 5
BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 6,,996.7915,BULON HEXAGONAL NATURAL (PULIDO) - WHIT - GRADO 2 6
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 476,,25.4,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 476
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/8,3/8,0.7278,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1/2,1/2,5.3031,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5/8,5/8,4.5619,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/4,3/4,27.2332,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 7/8,7/8,33.3468,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 7/8
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1,,114.3626,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/4,1/4,127.5483,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/2,1/2,1080.058,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 11/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 13/4,3/4,1254.9152,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 13/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 2,,2982.4041,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/4,1/4,3405.4827,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/2,1/2,3831.0532,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 21/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 23/4,3/4,4289.0373,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 23/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3,,6736.2952,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/4,1/4,6288.8402,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/2,1/2,6450.6026,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 31/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 4,,7808.0651,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 4
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 41/2,1/2,9452.942,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 41/2
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5,,11747.6251,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 5
BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 6,,3239.7647,BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 6
BULON HEXAGONAL - UNC - WHIT - GRADO 5 PULG,,25.4,BULON HEXAGONAL - UNC - WHIT - GRADO 5 PULG
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/8,3/8,0.8756,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 1/2,1/2,6.3239,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5/8,5/8,4.8195,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/4,3/4,47.3439,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 7/8,7/8,53.0535,BULON HEXAGONAL - UNC - WHIT - GRADO 5 7/8
BULON HEXAGONAL - UNC - WHIT - GRADO 5 1,,58.3546,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1
BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/4,1/4,170.2553,BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/2,1/2,360.9906,BULON HEXAGONAL - UNC - WHIT - GRADO 5 11/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 13/4,3/4,646.7304,BULON HEXAGONAL - UNC - WHIT - GRADO 5 13/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 2,,798.0936,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/4,1/4,930.7878,BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/2,1/2,4632.3482,BULON HEXAGONAL - UNC - WHIT - GRADO 5 21/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 3,,5711.2858,BULON HEXAGONAL - UNC - WHIT - GRADO 5 3
BULON HEXAGONAL - UNC - WHIT - GRADO 5 31/2,1/2,7686.3678,BULON HEXAGONAL - UNC - WHIT - GRADO 5 31/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 4,,8517.1398,BULON HEXAGONAL - UNC - WHIT - GRADO 5 4
BULON HEXAGONAL - UNC - WHIT - GRADO 5 41/2,1/2,8499.3525,BULON HEXAGONAL - UNC - WHIT - GRADO 5 41/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5,,12725.937,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5
BULON HEXAGONAL - UNC - WHIT - GRADO 5 5 1/2,1/2,15734.6477,BULON HEXAGONAL - UNC - WHIT - GRADO 5 5 1/2
BULON HEXAGONAL - UNC - WHIT - GRADO 5 6,,16922.462,BULON HEXAGONAL - UNC - WHIT - GRADO 5 6
BULON HEXAGONAL - MILIMETRICO 88 M A 100,,3.0,BULON HEXAGONAL - MILIMETRICO 88 M A 100
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 1270,,25.4,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 1270
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/4,1/4,31.75,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/2,1/2,38.1,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 11/2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 13/4,3/4,44.45,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 13/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 2,,50.8,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 2
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/4,1/4,57.15,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/4
BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/2,1/2,63.5,BULON HEXAGONAL ASTM A/325 - ZINCADO AMARILLO 21/2
